Title,Date
"Rango","1/7/21"
"The Vampire Diaries: Season 6: I'll Remember","1/7/21"
"The Vampire Diaries: Season 5: Home","1/6/21"
"The Vampire Diaries: Season 5: Promised Land","1/6/21"
"The Vampire Diaries: Season 5: What Lies Beneath","1/6/21"
"The Vampire Diaries: Season 5: Man on Fire","1/6/21"
"The Vampire Diaries: Season 5: Resident Evil","1/6/21"
"Bhasmasur","1/5/21"
"The Judge","1/5/21"
"Fast Five","1/5/21"
"Spartacus: Blood and Sand: The Red Serpent","1/5/21"
"Shutter Island","1/5/21"
"AK vs AK","1/5/21"
"The Vampire Diaries: Season 5: Rescue Me","1/4/21"
"The Vampire Diaries: Season 5: While You Were Sleeping","1/4/21"
"The Vampire Diaries: Season 5: Gone Girl","1/3/21"
"The Vampire Diaries: Season 5: No Exit","1/3/21"
"The Vampire Diaries: Season 5: Total Eclipse of the Heart","1/3/21"
"The Vampire Diaries: Season 5: The Devil Inside","1/3/21"
"Baahubali 2: The Conclusion (Hindi Version)","1/3/21"
"Baahubali: The Beginning (Hindi Version)","1/3/21"
"Bad Boy Billionaires: India: Season 1: The King of Good Times","1/2/21"
"The Vampire Diaries: Season 5: 500 Years of Solitude","1/2/21"
"The Vampire Diaries: Season 5: Fifty Shades of Grayson","1/2/21"
"Fabulous Lives of Bollywood Wives: Season 1: Of Waltzes and Water Bras","12/31/20"
"Axone","12/30/20"
"She: Season 1: Devil's Share","12/30/20"
"Andhadhun","12/30/20"
"Soorma","12/30/20"
"She: Season 1: The Promise","12/30/20"
"She: Season 1: It's Time","12/30/20"
"She: Season 1: Night Walk","12/30/20"
"She: Season 1: The Pawn's Move","12/29/20"
"She: Season 1: The Proposal","12/29/20"
"She: Season 1: The Pickup","12/29/20"
"The Vampire Diaries: Season 5: The Cell","12/28/20"
"The Vampire Diaries: Season 5: Dead Man on Campus","12/28/20"
"The Vampire Diaries: Season 5: Death and the Maiden","12/28/20"
"Faster","12/27/20"
"The Vampire Diaries: Season 5: Handle With Care","12/27/20"
"Stranger Things: Chapter Eight: The Upside Down","12/27/20"
"Stranger Things: Chapter Seven: The Bathtub","12/27/20"
"Stranger Things: Chapter Six: The Monster","12/26/20"
"Stranger Things: Chapter Five: The Flea and the Acrobat","12/26/20"
"The Vampire Diaries: Season 5: Monster's Ball","12/26/20"
"Stranger Things: Chapter Four: The Body","12/25/20"
"Stranger Things: Chapter Three: Holly, Jolly","12/25/20"
"Stranger Things: Chapter Two: The Weirdo on Maple Street","12/25/20"
"Torbaaz","12/25/20"
"Stranger Things: Chapter One: The Vanishing Of Will Byers","12/24/20"
"The Vampire Diaries: Season 5: For Whom the Bell Tolls","12/24/20"
"The Vampire Diaries: Season 5: Original Sin","12/24/20"
"Ludo","12/23/20"
"The Vampire Diaries: Season 5: True Lies","12/22/20"
"The Vampire Diaries: Season 5: I Know What You Did Last Summer","12/22/20"
"Paava Kadhaigal: Season 1: Oor Iravu","12/22/20"
"Paava Kadhaigal: Season 1: Vaanmagal","12/21/20"
"Paava Kadhaigal: Season 1: Love Panna Uttranum","12/21/20"
"Paava Kadhaigal: Season 1: Thangam","12/21/20"
"The Vampire Diaries: Season 4: Graduation","12/21/20"
"Jab Harry Met Sejal","12/21/20"
"The Vampire Diaries: Season 4: The Walking Dead","12/20/20"
"The Vampire Diaries: Season 4: She's Come Undone","12/20/20"
"The Vampire Diaries: Season 4: The Originals","12/20/20"
"The Vampire Diaries: Season 4: Pictures of You","12/19/20"
"The Vampire Diaries: Season 4: American Gothic","12/19/20"
"The Vampire Diaries: Season 4: Because the Night","12/19/20"
"The Vampire Diaries: Season 4: Bring It On","12/19/20"
"The Vampire Diaries: Season 4: Stand By Me","12/19/20"
"The Vampire Diaries: Season 4: Down the Rabbit Hole","12/18/20"
"The Vampire Diaries: Season 4: Into the Wild","12/18/20"
"The Vampire Diaries: Season 4: A View to a Kill","12/18/20"
"The Vampire Diaries: Season 4: Catch Me If You Can","12/18/20"
"The Vampire Diaries: Season 4: After School Special","12/18/20"
"The Vampire Diaries: Season 4: O Come, All Ye Faithful","12/17/20"
"The Vampire Diaries: Season 4: We'll Always Have Bourbon Street","12/17/20"
"The Vampire Diaries: Season 4: My Brother's Keeper","12/16/20"
"The Vampire Diaries: Season 4: We All Go a Little Mad Sometimes","12/16/20"
"The Vampire Diaries: Season 4: The Killer","12/16/20"
"The Vampire Diaries: Season 4: The Five","12/16/20"
"The Vampire Diaries: Season 4: The Rager","12/16/20"
"Dr. Seuss' The Grinch","12/15/20"
"The Vampire Diaries: Season 4: Memorial","12/15/20"
"The Vampire Diaries: Season 4: Growing Pains","12/14/20"
"The Vampire Diaries: Season 3: The Departed","12/14/20"
"The Vampire Diaries: Season 3: Before Sunset","12/14/20"
"The Vampire Diaries: Season 3: Do Not Go Gentle","12/14/20"
"The Vampire Diaries: Season 3: Heart of Darkness","12/14/20"
"Bhaag Beanie Bhaag: Season 1: Episode 2","12/14/20"
"Bhaag Beanie Bhaag: Season 1: Episode 1","12/14/20"
"Mismatched: Season 1: Games We Play","12/14/20"
"Mismatched: Season 1: It's Not a Date","12/14/20"
"Mismatched: Season 1: Making Moves","12/14/20"
"Mismatched: Season 1: Message Deleted","12/14/20"
"Mismatched: Season 1: Hot Summer, Cold Vibes","12/14/20"
"Mismatched: Season 1: When Dimple Met Rishi","12/14/20"
"The Vampire Diaries: Season 3: The Murder of One","12/14/20"
"The Vampire Diaries: Season 3: Break On Through","12/13/20"
"The Vampire Diaries: Season 3: 1912","12/13/20"
"The Vampire Diaries: Season 3: All My Children","12/13/20"
"The Vampire Diaries: Season 3: Dangerous Liaisons","12/13/20"
"The Vampire Diaries: Season 3: Bringing Out the Dead","12/13/20"
"The Vampire Diaries: Season 3: The Ties That Bind","12/12/20"
"The Vampire Diaries: Season 3: Our Town","12/12/20"
"The Vampire Diaries: Season 3: The New Deal","12/12/20"
"Ajji","12/12/20"
"The Vampire Diaries: Season 3: Homecoming","12/12/20"
"Bombay Talkies","12/12/20"
"The Vampire Diaries: Season 3: Ordinary People","12/11/20"
"The Vampire Diaries: Season 3: Ghost World","12/11/20"
"The Vampire Diaries: Season 3: Smells Like Teen Spirit","12/11/20"
"The Vampire Diaries: Season 3: The Reckoning","12/11/20"
"The Vampire Diaries: Season 3: Disturbing Behavior","12/11/20"
"The Vampire Diaries: Season 3: The End of the Affair","12/10/20"
"Zindagi Gulzar Hai: Season 1: Episode 1","12/10/20"
"Madagascar: Escape 2 Africa","12/8/20"
"CoComelon: Season 1: CoComelon  Sing-Alongs: Playdate with JJ","12/6/20"
"Madagascar 3: Europe's Most Wanted","12/6/20"
"Alvin and the Chipmunks: The Road Chip","12/6/20"
"Despicable Me","12/6/20"
"Kabhi Khushi Kabhie Gham","12/5/20"
"Chillar Party","12/5/20"
"Madagascar","12/5/20"
"Spider-Man: Homecoming","12/5/20"
"Kal Ho Naa Ho","12/5/20"
"The Amazing Spider-Man","12/5/20"
"Jab We Met","12/3/20"
"Rampage","12/2/20"
"The Dictator","12/2/20"
"Stree","12/2/20"
"Game Over (Hindi Version)","12/2/20"
"Extraction","12/2/20"
"The Vampire Diaries: Season 1: Unpleasantville","11/30/20"
"Teen Wolf: Season 1: Wolf Moon","11/30/20"
"Jodhaa Akbar","11/29/20"
"Umrika","11/29/20"
"3 Idiots","11/29/20"
"Raman Raghav 2.0","11/29/20"
"Mumbai Meri Jaan","11/23/20"
"Halkaa","11/23/20"
"Green Lantern","11/23/20"
"Lagaan","11/17/20"
"What the Jatt!!","11/17/20"
"Rukh","11/16/20"
"Zed Plus","11/16/20"
"Beyond the Clouds","11/16/20"
"Peepli Live","11/16/20"
"Blade Runner 2049","11/15/20"
"Chaman Bahaar","11/10/20"
"Upstarts","11/10/20"
"Delhi Crime: Season 1: Episode 1","11/9/20"
"Delhi Crime: Season 1: Episode 2","11/9/20"
"A Suitable Boy: Limited Series: Episode 1","11/9/20"
"Malaal","11/8/20"
"Door Ke Darshan","11/7/20"
"Dhoondte Reh Jaoge","11/1/20"
"Johnny English","11/1/20"
"Motichoor Chaknachoor","11/1/20"
"Rajma Chawal","11/1/20"
"Qarib Qarib Singlle","11/1/20"
"Hunterrr","11/1/20"
"The Last Airbender","11/1/20"
"The Revenant","11/1/20"
"The Last Witch Hunter","11/1/20"
"Kabali (Hindi Version)","11/1/20"
"Saving Private Ryan","11/1/20"
"12 Strong","11/1/20"
"Now You See Me 2","11/1/20"
"Ala Vaikunthapurramuloo","11/1/20"
"World Trade Center","11/1/20"
"Kuldip Patwal: I Didn't Do It!","11/1/20"
"Unbroken","11/1/20"
"The Figurine (Araromire)","11/1/20"
"Ginny Weds Sunny","10/25/20"
"The Boss Baby: Back in Business: Season 3: Bossa Nova","10/16/20"
"Serious Men","10/10/20"
"Khan: No. 1 Crime Hunter: Season 1: Episode 4","9/25/20"
"Khan: No. 1 Crime Hunter: Season 1: Episode 3","9/22/20"
"Khan: No. 1 Crime Hunter: Season 1: Episode 2","9/22/20"
"Khan: No. 1 Crime Hunter: Season 1: Episode 1","9/22/20"
"Dolly Kitty Aur Woh Chamakte Sitare","9/22/20"
"Lucy","9/17/20"
"Kaagar","9/15/20"
"Cargo","9/12/20"
"Taj Mahal 1989: Season 1: Episode 1","9/11/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 10","9/10/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 9","9/10/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 8","9/10/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 7","9/10/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 6","9/10/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 5","9/10/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 4","9/10/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 3","9/9/20"
"We Are Family","9/9/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 2","9/9/20"
"Jamtara - Sabka Number Ayega: Season 1: Episode 1","9/9/20"
"Class of '83","9/8/20"
"21 Sarfarosh: Saragarhi 1897: Season 1: Episode 5","9/6/20"
"21 Sarfarosh: Saragarhi 1897: Season 1: Episode 4","9/6/20"
"21 Sarfarosh: Saragarhi 1897: Season 1: Episode 3","9/6/20"
"21 Sarfarosh: Saragarhi 1897: Season 1: Episode 2","9/6/20"
"21 Sarfarosh: Saragarhi 1897: Season 1: Episode 1","9/6/20"
"Bard of Blood: Season 1: When Sorrows Come, They Come Not Single Spies, but in Battalions","9/1/20"
"Hasmukh: Season 1: Sab Samay Ka Khel Hai","8/31/20"
"Hasmukh: Season 1: Ek Writer Ki Maut","8/31/20"
"Hasmukh: Season 1: Peti Killer","8/31/20"
"Hasmukh: Season 1: Machalte Huye Hormones","8/31/20"
"Hasmukh: Season 1: Hum Acche Aadmi Nahin Hain","8/31/20"
"Hasmukh: Season 1: Case Closed","8/31/20"
"Hasmukh: Season 1: Bambai Main Bambu","8/31/20"
"Hasmukh: Season 1: Jimmy The Maker","8/31/20"
"Hasmukh: Season 1: Ek Tha Azmat, Ek Thi Kismat","8/31/20"
"Hasmukh: Season 1: Pakodey Thande The","8/31/20"
"Jurassic World: Fallen Kingdom","8/31/20"
"Selection Day: Season 1: Episode 12","8/29/20"
"Selection Day: Season 1: Episode 11","8/29/20"
"Masaba Masaba: Season 1: Rumour Has It","8/29/20"
"Selection Day: Season 1: Episode 10","8/25/20"
"Selection Day: Season 1: Episode 9","8/25/20"
"Selection Day: Season 1: Episode 8","8/25/20"
"Selection Day: Season 1: Episode 7","8/25/20"
"Selection Day: Season 1: Episode 6","8/25/20"
"Selection Day: Season 1: Episode 5","8/25/20"
"Selection Day: Season 1: Episode 4","8/25/20"
"Selection Day: Season 1: Episode 3","8/25/20"
"Selection Day: Season 1: Episode 2","8/25/20"
"Selection Day: Season 1: Episode 1","8/25/20"
"InMates: Season 1: Smells Like Nostalgia","8/22/20"
"InMates: Season 1: The Wild Card","8/22/20"
"InMates: Season 1: Tit for Tat","8/22/20"
"InMates: Season 1: Finding Sam","8/21/20"
"Friends: Season 1: The One Where Monica Gets a Roommate (Pilot)","8/20/20"
"Traffic Signal","8/19/20"
"Dhobi Ghat (Mumbai Diaries)","8/19/20"
"The Dark Knight","8/19/20"
"Rocky Handsome","8/18/20"
"Gunjan Saxena: The Kargil Girl","8/17/20"
"Sadqay Tumhare: Season 1: Episode 1","8/17/20"
"Sacred Games: Season 1: Halahala ","8/16/20"
"Sacred Games: Season 1: Ashwathama ","8/16/20"
"Dear Zindagi","8/16/20"
"InMates: Season 1: Ghar Mein Jagan Kahan Hai","8/16/20"
"Luv Shuv Tey Chicken Khurana","8/16/20"
"College Romance: Season 1: Happily Fucked Up","8/16/20"
"College Romance: Season 1: Spank Me","8/15/20"
"Encounter: The Killing","8/15/20"
"365 Days","8/15/20"
"Barah Aana","8/15/20"
"Brij Mohan Amar Rahe","8/14/20"
"Union Leader","8/12/20"
"Shootout at Wadala","8/11/20"
"Little Things: Season 2: Cheeti Aur Haathi","8/11/20"
"Little Things: Season 2: Back Seat","8/11/20"
"Angry Birds: Season 1: Chuck Time / Where's My Crown? / Full Metal Chuck / Another Birthday / Egg Sounds / A Fork in the Friendship / Trampoline / Roughnecks","8/11/20"
"Vikings: Season 1: Rites of Passage","8/10/20"
"Skyscraper","8/9/20"
"College Romance: Season 1: Paneer Sex Masala","8/9/20"
"Engineering Girls: Season 1: Awaazein","8/9/20"
"Engineering Girls: Season 1: The Mistake","8/9/20"
"Engineering Girls: Season 1: Happy Birthday","8/9/20"
"Engineering Girls: Season 1: Ghar Ke Laddu","8/9/20"
"Engineering Girls: Season 1: Practical File","8/9/20"
"Lucknow Central","8/9/20"
"The Silence","8/9/20"
"Catch Me If You Can","8/9/20"
"Little Things: Season 2: Milk Cake","8/9/20"
"Little Things: Season 1: Episode 5","8/9/20"
"Little Things: Season 1: Episode 4","8/9/20"
"Little Things: Season 1: Episode 3","8/9/20"
"Little Things: Season 1: Episode 2","8/9/20"
"College Romance: Season 1: Tommy","8/7/20"
"College Romance: Season 1: The Hint","8/7/20"
"Aagey Se Right","8/6/20"
"Never Have I Ever: Season 1: ... pissed off everyone I know","8/5/20"
"Never Have I Ever: Season 1: ... been a big, fat liar","8/5/20"
"Never Have I Ever: Season 1: ... been the loneliest boy in the world","8/5/20"
"Never Have I Ever: Season 1: ... started a nuclear war","8/5/20"
"Never Have I Ever: Season 1: ... felt super Indian","8/5/20"
"Never Have I Ever: Season 1: ... gotten drunk with the popular kids","8/5/20"
"Never Have I Ever: Season 1: ... had sex with Paxton Hall-Yoshida","8/5/20"
